"device","value","footprint","loadstatus","vendor","vendor_part_number","quantity","refdes"
"CONNECTOR","LiPo","S2B-PH","throughhole","digikey","455-1719-ND","1","B1"
"CAPACITOR","0.1uF","0402","smt","digikey","490-3261-1-ND","7","C12 C20 C28 C36 C39 C40 C9"
"CAPACITOR","1uF","0402","smt","digikey","490-1320-1-ND","3","C19 C37 C6"
"CAPACITOR","220pF","0402","smt","digikey","587-1215-1-ND","4","C21 C26 C27 C29"
"CAPACITOR","3.9pF","0402","smt","digikey","490-5940-1-ND","2","C22 C25"
"CAPACITOR","8.2pF","0402","smt","digikey","587-1946-1-ND","1","C23"
"CAPACITOR","5.6pF","0402","smt","digikey","490-5946-1-ND","1","C24"
"CAPACITOR","47pF","0402","smt","digikey","311-1021-1-ND","2","C2 C3"
"CAPACITOR","22pF","0402","smt","digikey","311-1018-1-ND","2","C30 C31"
"CAPACITOR","0.01uF","0402","smt","digikey","311-1349-1-ND","1","C38"
"CAPACITOR","4.7uF","0402","smt","digikey","445-7395-1-ND","2","C4 C5"
"LED","dualLED","0605","smt","digikey","160-1452-1-ND","1","D1"
"LED","red","0603diode","smt","digikey","160-1433-1-ND","1","D2"
"LED","blue","0603diode","smt","digikey","160-1837-1-ND","1","D3"
"CONNECTOR","USBmicroB","ZX62-B-5PA","smt","mouser","798-ZX62-B-5PA11 ","1","J5"
"CONNECTOR","Debug","0-215079-4","throughhole","mouser","571-215079-4 ","1","J6"
"CONNECTOR","SMA","sma-edge","handload","mouser","538-73251-2120 ","1","J8"
"CONNECTOR","CompanionInterface","0-338068-8","throughhole","mouser","571-215079-8 ","1","J9"
"INDUCTOR","27nH","0402","smt","digikey","490-2628-1-ND","3","L1 L3 L4"
"INDUCTOR","22nH","0402","smt","digikey","490-2627-1-ND","1","L2"
"RESISTOR","270","0402","smt","digikey","P270LCT-ND","2","R12 R13"
"RESISTOR","56k","0402","smt","digikey","P56.0KLCT-ND","1","R16"
"RESISTOR","2k","0402","smt","digikey","P2.00KLCT-ND","1","R35"
"RESISTOR","10k","0402","smt","digikey","P10.0KLCT-ND","1","R4"
"RESISTOR","5.1k","0402","smt","digikey","P5.10KLCT-ND","1","R5"
"RESISTOR","1k","0402","smt","digikey","P1.00KLCT-ND","2","R50 R51"
"RESISTOR","1.5k","0402","smt","digikey","P1.50KLCT-ND","1","R6"
"RESISTOR","33","0402","smt","digikey","P33.0LCT-ND","2","R7 R8"
"SPST","On/OFF","PNswitchDPDT","throughhole","arrow","PN22SJNA03QE","1","S1"
"IC","TC2185-3.3","SOT23-5","smt","digikey","TC2185-3.3VCCT-ND","1","U1"
"IC","MCP130T-300","SOT23","smt","digikey","MCP130T-300I/TTCT-ND","1","U11"
"MCP73831","MCP73831","SOT23-5","smt","digikey","MCP73831T-2ACI/OTCT-ND	","1","U2"
"IC","BTM-182","BTM182","smt","rayson","BTM-182","1","U3"
"IC","W25Q64","SOIJ8","noload","digikey","W25Q64FVSSIG-ND	","1","U5"
"IC","CC1111","TI-QFN36","smt","digikey","296-22684-1-ND","1","U9"
"CRYSTAL","48mhz","ABM8","smt","digikey","887-1335-1-ND","1","X1"
