device,value,footprint,loadstatus,provided,mfg,mfg_part_number,vendor,vendor_part_number,quantity,refdes
"CAPACITOR","0.1uF","0402","smt","no","unknown","CL05A104KA5NNNC","digikey","1276-1043-1-ND ",6,"C36 C39 C51 C52 C602 C610"
"CAPACITOR","0.22uF","0402","smt","no","unknown","LMK105BJ224KV-F","digikey","587-1228-1-ND",1,"C42"
"CAPACITOR","100pF","0402","smt","no","unknown","GCM1555C1H101JA16D","digikey","490-10669-1-ND",1,"C172"
"CAPACITOR","10nF","0402","smt","no","unknown","250R07W103KV4T","digikey","709-1132-1-ND",3,"C171 C211 C38"
"CAPACITOR","10pF","0402","smt","no","unknown","0402N100J500CT","digikey","1292-1636-1-ND",2,"C30 C31"
"CAPACITOR","1.8nF","0402","smt","no","unknown","04025C182KAT2A","digikey","478-1104-1-ND",1,"C231"
"CAPACITOR","1uF","0402","smt","no","unknown","EMK105BJ105KV-F","digikey","587-2477-1-ND",3,"C37 C6 C601"
"CAPACITOR","2.2pF","0402","smt","no","unknown","GJM1555C1H2R2BB01D","digikey","490-8092-1-ND",1,"C176"
"CAPACITOR","22pF","0402","smt","no","unknown","GRM1555C1H220FA01D","digikey","490-8589-1-ND",2,"C32 C33"
"CAPACITOR","39pF","0402","smt","no","unknown","CL05C390JB5NNNC","digikey","1276-1016-1-ND",1,"C174"
"CAPACITOR","47nF","0402","smt","no","unknown","CGA2B2X5R1C473K050BA","digikey","445-12164-1-ND",9,"C221 C251 C261 C271 C291 C43 C44 C45 C47"
"CAPACITOR","4.7uF","0402","smt","no","unknown","CL05A475KP5NRNC","digikey","1276-1480-1-ND",2,"C4 C5"
"CAPACITOR","5.1pF","0402","smt","no","unknown","CC0402DRNPO9BN5R1","digikey","311-3722-1-ND",3,"C181 C191 C210"
"CAPACITOR","56pF","0402","smt","no","unknown","C0402C560J5GACTU","digikey","399-1020-1-ND",1,"C173"
"CAPACITOR","6.2pF","0402","smt","no","unknown","GJM1555C1H6R2CB01D","digikey","490-3105-1-ND",1,"C175"
"CONNECTOR","Debug","0-215079-4","noload","no","unknown","215079-4","mouser","571-215079-4",1,"J6"
"CONNECTOR","LiPo","S2B-PH","throughhole","yes","unknown","S2B-PH-K-S(LF)(SN)","digikey","455-1719-ND",1,"B1"
"CONNECTOR","SMA","sma-edge","handload","no","unknown","73251-2120","mouser","538-73251-2120",1,"J8"
"CONNECTOR","USBmicroB","ZX62-B-5PA","smt","no","unknown","ZX62-B-5PA(33)","mouser","798-ZX62-B-5PA33",1,"J5"
"CRYSTAL","32mhz","NDK32","smt","no","unknown","NX3225SA-32.000MHZ-STD-CSR-1","digikey","644-1056-1-ND",1,"X2"
"CRYSTAL","40mhz","NDK32","smt","no","unknown","ABM8W-40.0000MHZ-4-B1U-T3","digikey","535-14086-1-ND",1,"X1"
"IC","CC1200","TI-QFN32","smt","no","unknown","CC1200RHBT","digikey","296-36396-1-ND",1,"U6"
"IC","MCP130T-300","SOT23","smt","no","unknown","MCP130T-300I/TT","digikey","MCP130T-300I/TTCT-ND",1,"U11"
"IC","MCP73831","SOT23-5","smt","yes","unknown","MCP73831T-2ACI/OT","mouser","579-MCP73831T-2ACIOT ",1,"U2"
"IC","RN4678","RN4678","smt","no","unknown","RN4678-V/RM100","digikey","RN4678-V/RM100-ND",1,"U3"
"IC","STM32F042C","lqfp48","smt","no","unknown","STM32F042C6T6","mouser","511-STM32F042C6T6",1,"U7"
"IC","TC2185-3.3","SOT23-5","smt","no","unknown","TC2185-3.3VCTTR","digikey","TC2185-3.3VCCT-ND",1,"U1"
"INDUCTOR","15nH","0402","smt","no","unknown","LQG15HS15NJ02D","digikey","490-2625-1-ND",2,"L172 L193"
"INDUCTOR","22nH","0402","smt","no","unknown","LQG15HS22NJ02D","digikey","490-2627-1-ND",1,"L174"
"INDUCTOR","27nH","0402","smt","no","unknown","LQG15HS27NJ02D","digikey","490-2628-1-ND",2,"L192 L201"
"INDUCTOR","43nH","0402","smt","no","unknown","MLG1005S43NJT000","digikey","445-6314-1-ND",1,"L173"
"INDUCTOR","56nH","0402","smt","no","unknown","LQG15HS56NJ02D","digikey","490-2632-1-ND",2,"L171 L191"
"INDUCTOR","bead","0402","smt","no","unknown","LI0402C221R-10","digikey","240-2554-1-ND",1,"L600"
"LED","blue","0603diode","smt","no","unknown","LTST-C194TBKT","digikey","160-1837-1-ND",1,"D3"
"LED","dualLED","0605","smt","yes","unknown","LTST-C195KGJRKT","digikey","160-1452-1-ND",1,"D1"
"LED","red","0603diode","smt","no","unknown","LTST-C190KAKT","digikey","160-1433-1-ND",1,"D2"
"RESISTOR","10k","0402","smt","yes","unknown","ERJ-2RKF1002X","digikey","P10.0KLTR-ND",1,"R4"
"RESISTOR","18","0402","smt","no","unknown","ERJ-2RKF18R0X","digikey","P18.0LCT-ND",1,"R171"
"RESISTOR","1k","0402","smt","yes","unknown","ERJ-2RKF1001X","digikey","P1.00KLTR-ND",4,"R12 R13 R50 R51"
"RESISTOR","22","0402","smt","no","unknown","ERJ-2RKF22R0X","digikey","P22.0LCT-ND",2,"R54 R55"
"RESISTOR","2.49k","0402","smt","no","unknown","ERJ-2RKF2491X","digikey","P2.49KLCT-ND",1,"R35"
"RESISTOR","5.1k","0402","smt","no","unknown","ERJ-2RKF5101X","digikey","P5.10KLCT-ND",1,"R5"
"RESISTOR","56k","0402","smt","no","unknown","ERJ-2RKF5602X","digikey","P56.0KLCT-ND",2,"R30 R6"
"SWITCH","On/OFF","PNswitchDPDT","throughhole","no","unknown","PN22SJNA03QE","mouser","611-PN22SJNA03QE",1,"S1"
