"device","value","footprint","loadstatus","vendor","vendor_part_number","quantity","refdes"
"CAPACITOR","0.1uF","0402","unknown","digikey","399-3027-1-ND","4","C12 C20 C28 C9"
"CAPACITOR","1uF","0402","unknown","digikey","490-1320-1-ND","4","C19 C36 C37 C5"
"CAPACITOR","220pF","0402","unknown","digikey","490-1293-1-ND","4","C21 C26 C27 C29"
"CAPACITOR","3.9pF","0402","unknown","digikey","490-1272-1-ND","2","C22 C25"
"CAPACITOR","8.2pF","0402","unknown","digikey","587-1946-1-ND","1","C23"
"CAPACITOR","5.6pF","0402","unknown","digikey","490-1275-1-ND","1","C24"
"CAPACITOR","47pF","0402","unknown","digikey","399-1019-1-ND","2","C2 C3"
"CAPACITOR","22pF","0402","unknown","digikey","490-1283-1-ND","2","C30 C31"
"LED","green","0603diode","unknown","digikey","160-1435-1-ND","1","D1"
"LED","red","0603diode","unknown","digikey","160-1433-1-ND","1","D2"
"HOLE_PLATED","unknown","hole-M2.5","noload","none","unknown","2","H1 H2"
"CONNECTOR","USBcable","usbcable","noload","unknown","unknown","1","J5"
"CONNECTOR","Debug","0-215079-4","throughhole","digikey","A99472CT-ND","1","J6"
"CONNECTOR","SMA","sma-edge","noload","mouser","538-73251-2120","1","J8"
"CONNECTOR","CompanionInterface","0-338068-8","throughhole","digikey","A99436CT-ND","1","J9"
"INDUCTOR","27nH","0402","unknown","digikey","490-2628-1-ND","3","L1 L3 L4"
"INDUCTOR","22nH","0402","unknown","digikey","490-2627-1-ND","1","L2"
"RESISTOR","270","0402","unknown","digikey","541-270LCT-ND","2","R12 R13"
"RESISTOR","56k","0402","unknown","digikey","RHM56.0KLCT-ND","1","R16"
"RESISTOR","2.7k","0402","unknown","digikey","RHM2.70KLCT-ND","1","R17"
"RESISTOR","33k","0402","unknown","digikey","311-33KJRCT-ND","1","R23"
"RESISTOR","1.5k","0402","unknown","digikey","RMCF1/16S1.5K1%RCT-ND","1","R6"
"RESISTOR","33","0402","unknown","digikey","RHM33.0LCT-ND","2","R7 R8"
"IC","TC1055-3.3","SOT23-5","unknown","digikey","TC10553.3VCT713CT-ND","1","U1"
"IC","CC1111","QFN36","unknown","digikey","296-22684-1-ND","1","U9"
"CRYSTAL","48mhz","ABM8","unknown","digikey","535-9149-1-ND","1","X1"
