device,value,footprint,loadstatus,provided,mfg,mfg_part_number,vendor,vendor_part_number,quantity,refdes
"CAPACITOR","0.1uF","0402","smt","no","unknown","C0402C104K8PACTU","digikey","399-3027-1-ND",2,"C3 C4"
"CAPACITOR","0.22uF","0402","smt","no","unknown","LMK105BJ224KV-F","digikey","587-1228-1-ND",1,"C42"
"CAPACITOR","100pF","0402","smt","no","unknown","CC0402JRNPO9BN101","digikey","311-1024-1-ND",1,"C172"
"CAPACITOR","10nF","0402","smt","no","unknown","250R07W103KV4T","digikey","709-1132-1-ND",3,"C171 C211 C38"
"CAPACITOR","10pF","0402","smt","no","unknown","GRM1555C1H100JA01D","digikey","490-5921-1-ND",2,"C30 C31"
"CAPACITOR","1.8nF","0402","smt","no","unknown","GRM155R71H182KA01D","digikey","490-3246-1-ND",1,"C231"
"CAPACITOR","18pF","0402","smt","no","unknown","GRM1555C1H180FA01D","digikey","490-6203-1-ND",2,"C1 C2"
"CAPACITOR","1uF","0402","smt","no","unknown","GRM155R60J105KE19D","digikey","490-1320-1-ND",2,"C37 C39"
"CAPACITOR","2.2pF","0402","smt","no","unknown","GRM1555C1H2R2CA01D","digikey","490-5932-1-ND",1,"C176"
"CAPACITOR","39pF","0402","smt","no","unknown","CC0402JRNPO9BN390","digikey","311-1009-1-ND",1,"C174"
"CAPACITOR","47nF","0402","smt","no","unknown","GRM155R61A473KA01D","digikey","490-5412-1-ND",9,"C221 C251 C261 C271 C291 C43 C44 C45 C47"
"CAPACITOR","5.1pF","0402","smt","no","unknown","GRM1555C1H5R1DA01D","digikey","490-5945-1-ND",3,"C181 C191 C210"
"CAPACITOR","56pF","0402","smt","no","unknown","CC0402JRNPO9BN560","digikey","311-1022-1-ND",1,"C173"
"CAPACITOR","6.2pF","0402","smt","no","unknown","GJM1555C1H6R2CB01D","digikey","490-3105-1-ND",1,"C175"
"CONNECTOR","Debug","0-215079-4","noload","no","unknown","215079-4","mouser","571-215079-4",1,"J2"
"CONNECTOR","SMA","sma-edge","handload","no","unknown","73251-2120","mouser","538-73251-2120 ",1,"J8"
"CONNECTOR","USBcable","usbcable","noload","no","unknown","88728-3400","mouser","538-88728-3400",1,"J1"
"CRYSTAL","12MHz","ABM8","smt","no","unknown","ABM8G-12.000MHZ-4Y-T3","digikey","535-10901-1-ND",1,"X2"
"CRYSTAL","40mhz","NDK32","smt","no","unknown","NX3225SA-40.000MHZ-STD-CSR-1","digikey","644-1057-1-ND",1,"X1"
"IC","CC1200","TI-QFN32","smt","no","unknown","CC1200RHBT","digikey","296-36396-1-ND",1,"U6"
"IC","LPC11U14FHI33","hvqfn33","smt","no","unknown","LPC11U14FHI33/201","avnet","LPC11U14FHI33/201",1,"U2"
"IC","TC2185-3.3","SOT23-5","smt","no","unknown","TC2185-3.3VCTTR","digikey","TC2185-3.3VCCT-ND",1,"U1"
"INDUCTOR","15nH","0402","smt","no","unknown","LQG15HS15NJ02D","digikey","490-2625-1-ND",2,"L172 L193"
"INDUCTOR","22nH","0402","smt","no","unknown","LQG15HS22NJ02D","digikey","490-2627-1-ND",1,"L174"
"INDUCTOR","27nH","0402","smt","no","unknown","LQG15HS27NJ02D","digikey","490-2628-1-ND",2,"L192 L201"
"INDUCTOR","43nH","0402","smt","no","unknown","MLG1005S43NJT000","digikey","445-6314-1-ND",1,"L173"
"INDUCTOR","56nH","0402","smt","no","unknown","LQG15HS56NJ02D","digikey","490-2632-1-ND",2,"L171 L191"
"LED","green","0603diode","smt","no","unknown","LTST-C190KGKT","digikey","160-1435-1-ND",1,"D1"
"LED","red","0603diode","smt","no","unknown","LTST-C190KAKT","digikey","160-1433-1-ND",1,"D2"
"RESISTOR","1.5k","0402","smt","no","unknown","ERJ-2RKF1501X","digikey","P1.50KLCT-ND",1,"R1"
"RESISTOR","18","0402","smt","no","unknown","ERJ-2RKF18R0X","digikey","P18.0LCT-ND",1,"R171"
"RESISTOR","270","0402","smt","no","unknown","ERJ-2RKF2700X","digikey","P270LCT-ND",2,"R4 R5"
"RESISTOR","33","0402","smt","no","unknown","ERJ-2RKF33R0X","digikey","P33.0LCT-ND",2,"R2 R3"
"RESISTOR","56k","0402","smt","no","unknown","ERJ-2RKF5602X","digikey","P56.0KLCT-ND",1,"R30"
