device,value,footprint,loadstatus,provided,mfg,mfg_part_number,vendor,vendor_part_number,quantity,refdes
"ANTENNA","APAE1575R1840AADB7-T","GP.18.4","noload","no","unknown","APAE1575R1840AADB7-T","mouser","815-1575R1840AADB7T",1,"A1"
"CAPACITOR","0.1uF","0402","smt","no","unknown","CL05A104KA5NNNC","digikey","1276-1043-1-ND ",3,"C4 C41 C8"
"CAPACITOR","0.22uF","0402","smt","no","unknown","LMK105BJ224KV-F","digikey","587-1228-1-ND",1,"C42"
"CAPACITOR","100pF","0402","smt","no","unknown","GCM1555C1H101JA16D","digikey","490-10669-1-ND",1,"C172"
"CAPACITOR","10nF","0402","smt","no","unknown","250R07W103KV4T","digikey","709-1132-1-ND",4,"C171 C211 C38 C9"
"CAPACITOR","10pF","0402","smt","no","unknown","0402N100J500CT","digikey","1292-1636-1-ND",2,"C30 C31"
"CAPACITOR","1.8nF","0402","smt","no","unknown","04025C182KAT2A","digikey","478-1104-1-ND",1,"C231"
"CAPACITOR","1uF","0402","smt","no","unknown","EMK105BJ104KV-F","digikey","587-1226-1-ND",2,"C37 C39"
"CAPACITOR","2.2pF","0402","smt","no","unknown","GJM1555C1H2R2BB01D","digikey","490-8092-1-ND",1,"C176"
"CAPACITOR","22pF","0402","smt","no","unknown","GRM1555C1H220FA01D","digikey","490-8589-1-ND",2,"C5 C6"
"CAPACITOR","39pF","0402","smt","no","unknown","CL05C390JB5NNNC","digikey","1276-1016-1-ND",1,"C174"
"CAPACITOR","47nF","0402","smt","no","unknown","CGA2B2X5R1C473K050BA","digikey","445-12164-1-ND",9,"C221 C251 C261 C271 C291 C43 C44 C45 C47"
"CAPACITOR","4.7uF","0402","smt","no","unknown","CC0402KRX5R5BB475","digikey","311-3476-1-ND",2,"C10 C11"
"CAPACITOR","5.1pF","0402","smt","no","unknown","CC0402CRNPO9BN5R1","digikey","311-1633-1-ND",3,"C181 C191 C210"
"CAPACITOR","56pF","0402","smt","no","unknown","C0402C560J5GACTU","digikey","399-1020-1-ND",1,"C173"
"CAPACITOR","6.2pF","0402","smt","no","unknown","GJM1555C1H6R2CB01D","digikey","490-3105-1-ND",1,"C175"
"CONNECTOR","Debug","50mil7pin","noload","","unknown","","","",1,"J2"
"CONNECTOR","LiPo","S2B-PH","noload","yes","unknown","S2B-PH-K-S(LF)(SN)","digikey","455-1719-ND",1,"B1"
"CONNECTOR","SMA","sma-edge","noload","no","unknown","73251-2120","mouser","538-73251-2120",1,"J8"
"CONNECTOR","unknown","2mm2pin","noload","","unknown","","","",1,"J3"
"CONNECTOR","USBmicroB","ZX62-B-5PA","smt","no","unknown","ZX62-B-5PA(33)","mouser","798-ZX62-B-5PA33",1,"J1"
"CRYSTAL","16MHz","ABM8","smt","no","unknown","ABM8G-16.000MHZ-4Y-T3","digikey","535-10907-1-ND",1,"X2"
"CRYSTAL","40mhz","NDK32","smt","no","unknown","ABM8W-40.0000MHZ-4-B1U-T3","digikey","535-14086-1-ND",1,"X1"
"CRYSTAL","SAW","saw","smt","no","unknown","B39162B9415K610","digikey","495-3910-1-ND",1,"S1"
"IC","CC1200","TI-QFN32","smt","no","unknown","CC1200RHBT","digikey","296-36396-1-ND",1,"U3"
"IC","MAX-7Q","UBLOX-MAX","smt","yes","unknown","MAX-7Q","u-blox","MAX-7Q",1,"U5"
