"device","value","footprint","loadstatus","vendor","vendor_part_number","quantity","refdes"
"ANTENNA","GP.1575.18.4.A.02","GP.18.4","throughhole","mouser","960-GP1575184A02","1","A1"
"CONNECTOR","LiPo","B2B-PH","throughhole","digikey","A100034-ND","1","B1"
"CAPACITOR","1uF","0402","smt","digikey","490-1320-1-ND","4","C102 C103 C37 C601"
"CAPACITOR","0.1uF","0402","smt","digikey","399-3027-1-ND","9","C10 C101 C22 C301 C302 C36 C600 C602 C610"
"CAPACITOR","10nF","0402","smt","digikey","709-1132-1-ND","4","C171 C211 C303 C38"
"CAPACITOR","100pF","0402","smt","digikey","311-1024-1-ND","1","C172"
"CAPACITOR","56pF","0402","smt","digikey","311-1022-1-ND","1","C173"
"CAPACITOR","39pF","0402","smt","digikey","311-1009-1-ND","1","C174"
"CAPACITOR","6.2pF","0402","smt","digikey","490-3105-1-ND","1","C175"
"CAPACITOR","2.2pF","0402","smt","digikey","490-5932-1-ND","1","C176"
"CAPACITOR","tuning","0402","noload","unknown","unknown","1","C177"
"CAPACITOR","5.1pF","0402","smt","digikey","490-5945-1-ND","3","C181 C191 C210"
"CAPACITOR","0.22uF","0402","smt","digikey","587-1228-1-ND","2","C20 C42"
"CAPACITOR","4.7uF","0402","smt","digikey","445-5947-1-ND","3","C21 C4 C5"
"CAPACITOR","47nF","0402","smt","digikey","490-5412-1-ND","9","C221 C251 C261 C271 C291 C43 C44 C45 C47"
"CAPACITOR","1.8nF","0402","smt","digikey","490-3246-1-ND","1","C231"
"CAPACITOR","10pF","0402","smt","digikey","490-5921-1-ND","2","C30 C31"
"CAPACITOR","22pF","0402","smt","digikey","311-1018-1-ND","2","C32 C33"
"CAPACITOR","47uF","1206","smt","digikey","587-1780-1-ND","1","C39"
"CAPACITOR","47pF","0402","noload","digikey","399-1019-1-ND","3","C403 C404 C405"
"LED","dualLED","0605","smt","digikey","160-1452-1-ND","2","D1 D2"
"DIODE","DFLS130L","powerdi123","smt","digikey","DFLS130LDICT-ND","1","D3"
"CONNECTOR","Pyro","282834-9","noload","digikey","282834-9-ND","2","J1 J2"
"CONNECTOR","Debug","0-215079-4","noload","mouser","571-215079-4","1","J20"
