device,value,footprint,loadstatus,provided,mfg_part_number,vendor,vendor_part_number,quantity,refdes
"ANTENNA","GP.1575.18.4.A.02","GP.18.4","noload","no","GP.1575.18.4.A.02","mouser","960-GP1575184A02",1,"A1"
"BEEPER","TDK_PS12","TDK_PS12","noload","no","PS1240P02BT","digikey","445-2525-1-ND",1,"U8"
"CAPACITOR","0.1uF","0402","smt","no","C0402C104K8PACTU","digikey","399-3027-1-ND",9,"C10 C101 C22 C301 C302 C36 C600 C602 C610"
"CAPACITOR","0.22uF","0402","smt","no","LMK105BJ224KV-F","digikey","587-1228-1-ND",2,"C20 C42"
"CAPACITOR","100pF","0402","smt","no","CC0402JRNPO9BN101","digikey","311-1024-1-ND",1,"C172"
"CAPACITOR","10nF","0402","smt","no","250R07W103KV4T","digikey","709-1132-1-ND",4,"C171 C211 C303 C38"
"CAPACITOR","10pF","0402","smt","no","GRM1555C1H100JA01D","digikey","490-5921-1-ND",2,"C30 C31"
"CAPACITOR","1.8nF","0402","smt","no","GRM155R71H182KA01D","digikey","490-3246-1-ND",1,"C231"
"CAPACITOR","1uF","0402","smt","no","GRM155R60J105KE19D","digikey","490-1320-1-ND",4,"C102 C103 C37 C601"
"CAPACITOR","22pF","0402","smt","no","CC0402JRNPO9BN220","digikey","311-1018-1-ND",2,"C32 C33"
"CAPACITOR","2.2pF","0402","smt","no","GRM1555C1H2R2CA01D","digikey","490-5932-1-ND",1,"C176"
"CAPACITOR","39pF","0402","smt","no","CC0402JRNPO9BN390","digikey","311-1009-1-ND",1,"C174"
"CAPACITOR","47nF","0402","smt","no","GRM155R61A473KA01D","digikey","490-5412-1-ND",9,"C221 C251 C261 C271 C291 C43 C44 C45 C47"
"CAPACITOR","4.7uF","0402","smt","no","C1005X5R0J475M050BC","digikey","445-7395-1-ND",3,"C21 C4 C5"
"CAPACITOR","47uF","1206","smt","no","LMK316BJ476ML-T","digikey","587-1780-1-ND",1,"C39"
"CAPACITOR","5.1pF","0402","smt","no","GRM1555C1H5R1DA01D","digikey","490-5945-1-ND",3,"C181 C191 C210"
"CAPACITOR","56pF","0402","smt","no","CC0402JRNPO9BN560","digikey","311-1022-1-ND",1,"C173"
"CAPACITOR","6.2pF","0402","smt","no","GJM1555C1H6R2CB01D","digikey","490-3105-1-ND",1,"C175"
"CAPACITOR","tuning","0402","noload","","","","",1,"C177"
"CONNECTOR","Companion","0-338068-8","noload","no","338068-8","digikey","A99436CT-ND",1,"J9"
"CONNECTOR","Debug","0-215079-4","noload","no","215079-4","mouser","571-215079-4",1,"J20"
"CONNECTOR","LiPo","B2B-PH","noload","no","440054-2","digikey","A100034-ND",1,"B1"
"CONNECTOR","Pyro","282834-9","noload","yes","18477","4ucon","18477",2,"J1 J2"
"CONNECTOR","Servos","0-338068-6","noload","no","338068-6","digikey","A99437CT-ND",1,"J21"
"CONNECTOR","SMA","sma-edge","noload","no","73251-2120","mouser","538-73251-2120",1,"J8"
"CONNECTOR","USBmicroB","ZX62-B-5PA","smt","yes","18575","4ucon","18575",1,"J5"
"CRYSTAL","40mhz","NDK32","smt","no","NX3225SA-40.000MHZ-STD-CSR-1","digikey","644-1057-1-ND",1,"X1"
"CRYSTAL","8mhz","ABM3B","smt","no","ABM3B-8.000MHZ-10-1-U-T","digikey","535-9721-1-ND",1,"X2"
"CRYSTAL","SAW","saw","smt","no","FAR-F6KA-1G5754-L4AB-Z","digikey","587-2995-1-ND",1,"S1"
"DIODE","DFLS130L","powerdi123","smt","no","DFLS130L-7","digikey","DFLS130LDICT-ND",1,"D3"
"IC","CC1200","TI-QFN32","smt","no","CC1200RHBT","digikey","296-36396-1-ND",1,"U6"
"IC","HMC5883L","LPCC16","smt","no","HMC5883L-TR","digikey","342-1082-1-ND",1,"U9"
"IC","LM293","8ufson2x2","smt","no","LM293QT","mouser","511-LM293QT",3,"U13 U14 U15"
"IC","MAX-7Q","UBLOX-MAX","smt","yes","MAX-7Q","u-blox","MAX-7Q",1,"U10"
"IC","MCP130T-300","SOT23","smt","no","MCP130T-300I/TT","digikey","MCP130T-300I/TTCT-ND",1,"U11"
"IC","MCP73831","SOT23-5","smt","no","MCP73831T-2ACI/OT","digikey","MCP73831T-2ACI/OTCT-ND",1,"U2"
"IC","MMA6555","AN3111","smt","no","MMA6555KW","mouser","841-MMA6555KW",1,"U3"
"IC","MPU-6000","MPU6000","smt","yes","MPU-6000","cdiweb","MPU-6000",1,"U12"
"IC","MS5607","MS5607","smt","yes","MS5607-02BA03","measspec","MS5607",1,"U4"
"IC","STM32L151VCT6","lqfp100","smt","no","STM32L151VCT6","mouser","511-STM32L151VCT6",1,"U7"
"IC","TC2185-3.3","SOT23-5","smt","no","TC2185-3.3VCTTR","digikey","TC2185-3.3VCCT-ND",1,"U1"
"IC","W25Q64","SOIJ8","smt","no","W25Q64FVSSIG","digikey","W25Q64FVSSIG-ND",1,"U5"
"INDUCTOR","15nH","0402","smt","no","LQG15HS15NJ02D","digikey","490-2625-1-ND",2,"L172 L193"
"INDUCTOR","22nH","0402","smt","no","LQG15HS22NJ02D","digikey","490-2627-1-ND",1,"L174"
"INDUCTOR","27nH","0402","smt","no","LQG15HS27NJ02D","digikey","490-2628-1-ND",2,"L192 L201"
"INDUCTOR","43nH","0402","smt","no","MLG1005S43NJT000","digikey","445-6314-1-ND",1,"L173"
"INDUCTOR","56nH","0402","smt","no","LQG15HS56NJ02D","digikey","490-2632-1-ND",2,"L171 L191"
"INDUCTOR","bead","0402","smt","no","LI0402C221R-10","digikey","240-2554-1-ND",1,"L600"
"LED","dualLED","0605","smt","no","LTST-C195KGJRKT","digikey","160-1452-1-ND",2,"D1 D2"
"MOSFET","Si7232DN","1212-8","smt","no","SI7232DN-T1-GE3","mouser","781-SI7232DN-GE3",3,"Q1 Q2 Q3"
"RESISTOR","100k","0402","smt","no","ERJ-2RKF1003X","digikey","P100KLCT-ND",7,"R13 R14 R15 R16 R17 R18 R27"
"RESISTOR","10k","0402","smt","no","ERJ-2RKF1002X","digikey","P10.0KLCT-ND",5,"R26 R36 R38 R401 R402"
"RESISTOR","18","0402","smt","no","ERJ-2RKF18R0X","digikey","P18.0LCT-ND",1,"R171"
"RESISTOR","1.8k","0402","smt","no","ERJ-2RKF1801X","digikey","P1.80KLCT-ND",2,"R900 R901"
"RESISTOR","1k","0402","smt","no","ERJ-2RKF1001X","digikey","P1.00KLCT-ND",4,"R50 R51 R52 R53"
"RESISTOR","220","0402","smt","no","ERJ-2RKF2200X","digikey","P220LCT-ND",4,"R40 R41 R42 R43"
"RESISTOR","22","0402","smt","no","ERJ-2RKF22R0X","digikey","P22.0LCT-ND",2,"R54 R55"
"RESISTOR","27k","0402","smt","no","ERJ-2RKF2702X","digikey","P27.0KLCT-ND",7,"R19 R20 R21 R22 R23 R24 R28"
"RESISTOR","2k","0402","smt","no","ERJ-2RKF2001X","digikey","P2.00KLCT-ND",1,"R35"
"RESISTOR","3.3k","0402","smt","no","ERJ-2RKF3301X","digikey","P3.30KLCT-ND",6,"R1 R2 R3 R4 R5 R6"
"RESISTOR","549","0402","smt","no","ERJ-2RKF5490X","digikey","P549LCT-ND",6,"R10 R11 R12 R7 R8 R9"
"RESISTOR","5.6k","0402","smt","no","ERJ-2RKF5601X","digikey","P5.60KLCT-ND",1,"R25"
"RESISTOR","56k","0402","smt","no","ERJ-2RKF5602X","digikey","P56.0KLCT-ND",2,"R30 R32"
"RESISTOR","8.06k","0402","smt","no","ERJ-2RKF8061X","digikey","P8.06KLCT-ND",1,"R37"
"RESISTOR","9.09k","0402","smt","no","ERJ-2RKF9091X","digikey","P9.09KLCT-ND",1,"R39"
