Script started on Sun 19 Apr 2009 12:59:41 PM MDT
]0;bdale@rover: ~/src/keithp/altosbdale@rover:~/src/keithp/altos$ cu -l /dev/ttyACM0 
Connected.

> l
F 5657 0000 0003
S 5657 0003 0000
A 5601 3d98 49c8
T 5601 19ec 60a4
D 5601 0860 0008
A 5602 3da4 49d0
A 5603 3d90 49cc
A 5604 3da4 49cc
A 5605 3dac 49d0
A 5606 3da4 49cc
A 5607 3dbc 49cc
A 5608 3da8 49c4
A 5609 3dac 49c4
A 560a 3db8 49cc
A 560b 3dac 49cc
A 560c 3db0 49cc
A 560d 3dac 49cc
A 560e 3db0 49c4
A 560f 3dbc 49c0
A 5610 3db4 49cc
A 5611 3dac 49cc
A 5612 3da8 49c4
A 5613 3dc4 49c8
A 5614 3db8 49cc
A 5615 3da8 49cc
A 5616 3dac 49d0
A 5617 3dc0 49cc
A 5618 3d98 49c8
A 5619 3db0 49cc
A 561a 3db0 49d0
A 561b 3db0 49d0
A 561c 3db0 49c4
A 561d 3db4 49c8
A 561e 3da8 49d0
A 561f 3da8 49d4
A 5620 3dc0 49cc
A 5621 3db0 49cc
A 5622 3dac 49cc
A 5623 3db8 49c8
A 5624 3da4 49d0
A 5625 3dac 49d0
A 5626 3dac 49cc
A 5627 3db0 49c4
A 5628 3db0 49c8
A 5629 3db8 49cc
A 562a 3db0 49c8
A 562b 3da8 49d0
A 562c 3dac 49d0
A 562d 3dc0 49cc
A 562e 3dc8 49c8
A 562f 3dc4 49d0
A 5630 3db4 49cc
A 5631 3db4 49c8
A 5632 3da8 49c8
A 5633 3dc4 49c8
A 5634 3db8 49d0
A 5635 3db8 49cc
A 5636 3da8 49cc
A 5637 3da4 49cc
A 5638 3dac 49c8
A 5639 3da8 49cc
A 563a 3db4 49c8
A 563b 3db8 49c4
A 563c 3db0 49c4
A 563d 3db8 49cc
A 563e 3db0 49cc
A 563f 3dc8 49cc
A 5640 3db8 49cc
A 5641 3dac 49c8
A 5642 3dac 49c8
A 5643 3dac 49cc
A 5644 3dbc 49c8
A 5645 3db4 49cc
A 5646 3db0 49c4
A 5647 3db4 49c4
A 5648 3dac 49cc
A 5649 3dd4 49cc
A 564a 3db4 49cc
