"device","value","footprint","loadstatus","vendor","vendor_part_number","quantity","refdes"
"ANTENNA","APAE1575R1840AADB7-T","GP.18.4","noload","mouser","815-1575R1840AADB7T ","1","A1"
"CONNECTOR","LiPo","B2B-PH","noload","digikey","A100034-ND","1","B1"
"CAPACITOR","1uF","0402","smt","digikey","490-1320-1-ND","4","C102 C103 C37 C601"
"CAPACITOR","0.1uF","0402","smt","digikey","399-3027-1-ND","5","C10 C101 C36 C602 C610"
"CAPACITOR","10nF","0402","smt","digikey","709-1132-1-ND","3","C171 C211 C38"
"CAPACITOR","100pF","0402","smt","digikey","311-1024-1-ND","1","C172"
"CAPACITOR","56pF","0402","smt","digikey","490-1288-1-ND","1","C173"
"CAPACITOR","39pF","0402","smt","digikey","311-1009-1-ND","1","C174"
"CAPACITOR","6.2pF","0402","smt","digikey","490-3105-1-ND","1","C175"
"CAPACITOR","2.2pF","0402","smt","digikey","490-5932-1-ND","1","C176"
"CAPACITOR","tuning","0402","noload","unknown","unknown","1","C177"
"CAPACITOR","5.1pF","0402","smt","digikey","490-3208-1-ND","3","C181 C191 C210"
"CAPACITOR","47nF","0402","smt","digikey","490-5412-1-ND","9","C221 C251 C261 C271 C291 C43 C44 C45 C47"
"CAPACITOR","1.8nF","0402","smt","digikey","490-3246-1-ND","1","C231"
"CAPACITOR","10pF","0402","smt","digikey","490-1278-1-ND","2","C30 C31"
"CAPACITOR","22pF","0402","smt","digikey","311-1018-1-ND","2","C32 C33"
"CAPACITOR","47uF","1210","smt","digikey","399-5514-1-ND","1","C39"
"CAPACITOR","0.22uF","0402","smt","digikey","587-1228-1-ND","1","C42"
"CAPACITOR","4.7uF","0402","smt","digikey","445-5947-1-ND","2","C4 C5"
"LED","dualLED","0605","smt","digikey","160-1452-1-ND","2","D1 D2"
"DIODE","DFLS130L","powerdi123","smt","digikey","DFLS130LDICT-ND","1","D3"
"CONNECTOR","Pyro","282834-6","noload","4ucon","20088","1","J4"
"CONNECTOR","USBmicroB","ZX62-B-5PA","smt","4ucon","18575","1","J5"
"CONNECTOR","Debug","0-215079-4","noload","digikey","A99472CT-ND","1","J6"
"CONNECTOR","SMA","sma-edge","noload","digikey","CONSMA003.062-ND","1","J8"
"CONNECTOR","Companion","0-338068-8","noload","digikey","A99436CT-ND","1","J9"
"INDUCTOR","56nH","0402","smt","digikey","490-2632-1-ND","2","L171 L191"
"INDUCTOR","15nH","0402","smt","digikey","490-2625-1-ND","2","L172 L193"
"INDUCTOR","43nH","0402","smt","digikey","445-6314-1-ND","1","L173"
"INDUCTOR","22nH","0402","smt","digikey","490-2627-1-ND","1","L174"
"INDUCTOR","27nH","0402","smt","digikey","490-2628-1-ND","2","L192 L201"
"INDUCTOR","bead","0402","smt","digikey","240-2554-1-ND","1","L600"
"MOSFET","Si7232DN","1212-8","smt","digikey","SI7232DN-T1-GE3CT-ND","1","Q1"
"RESISTOR","100k","0402","smt","digikey","P100KLCT-ND","2","R13 R14"
"RESISTOR","18","0402","smt","digikey","P18.0LCT-ND","1","R171"
"RESISTOR","27k","0402","smt","digikey","P27.0KLCT-ND","2","R19 R20"
"RESISTOR","3.3k","0402","smt","digikey","P3.30KLCT-ND","2","R1 R2"
"RESISTOR","5.6k","0402","smt","digikey","P5.60KLCT-ND","1","R25"
"RESISTOR","10k","0402","smt","digikey","P10.0KLCT-ND","5","R26 R36 R38 R401 R402"
"RESISTOR","56k","0402","smt","digikey","P56.0KLCT-ND","2","R30 R32"
"RESISTOR","2k","0402","smt","digikey","P2.00KLCT-ND","1","R35"
"RESISTOR","8.06k","0402","smt","digikey","P8.06KLCT-ND","1","R37"
"RESISTOR","9.09k","0402","smt","digikey","P9.09KLCT-ND","1","R39"
"RESISTOR","1k","0402","smt","digikey","P1.00KLCT-ND","4","R50 R51 R52 R53"
"RESISTOR","22","0402","smt","digikey","P22.0LCT-ND","2","R54 R55"
"RESISTOR","100","0402","smt","digikey","P100JCT-ND","2","R7 R8"
"CRYSTAL","unknown","saw","smt","digikey","587-2995-1-ND","1","S1"
"IC","TC2185-3.3","SOT23-5","smt","digikey","TC2185-3.3VCCT-ND","1","U1"
"U-Blox MAX","MAX-7Q","UBLOX-MAX","smt","u-blox","MAX-7Q","1","U10"
"IC","MCP130T-300","SOT23","smt","digikey","MCP130T-300I/TTCT-ND","1","U11"
"IC","LM293","8ufson2x2","smt","digikey","497-11134-1-ND","1","U13"
"MCP73831","MCP73831","SOT23-5","smt","digikey","MCP73831T-2ACI/OTCT-ND	","1","U2"
"IC","CC1120","TI-QFN32","smt","digikey","296-35667-1-ND","1","U3"
"MS5607","MS5607","MS5607","smt","measspec","MS5607","1","U4"
"IC","W25Q64","SOIJ8","smt","digikey","W25Q64FVSSIG-ND","1","U5"
"MMA6556","MMA6555","AN3111","smt","mouser","841-MMA6555KW","1","U6"
"IC","STM32L151CBU6","ufqfpn48","smt","avnet","STM32L151CBU6","1","U7"
"BEEPER","TDK_PS12","TDK_PS12","noload","digikey","445-2525-1-ND","1","U8"
"CRYSTAL","32mhz","NDK32","smt","digikey","644-1056-1-ND","1","X1"
"CRYSTAL","8mhz","ABM3B","smt","digikey","535-9721-1-ND","1","X2"
