"device","value","footprint","loadstatus","vendor","vendor_part_number","quantity","refdes"
"CONNECTOR","LiPo","S2B-PH","throughhole","digikey","455-1719-ND","1","B1"
"CAPACITOR","0.1uF","0402","smt","digikey","399-3027-1-ND","4","C10 C12 C20 C28"
"CAPACITOR","47pF","0402","smt","digikey","399-1019-1-ND","1","C11"
"CAPACITOR","0.001uF","0402","smt","digikey","490-3244-1-ND","1","C18"
"CAPACITOR","1uF","0402","smt","digikey","490-1320-1-ND","3","C19 C37 C5"
"CAPACITOR","220pF","0402","smt","digikey","587-1215-1-ND","4","C21 C26 C27 C29"
"CAPACITOR","3.9pF","0402","smt","digikey","490-1272-1-ND","2","C22 C25"
"CAPACITOR","8.2pF","0402","smt","digikey","587-1946-1-ND","1","C23"
"CAPACITOR","5.6pF","0402","smt","digikey","490-1275-1-ND","1","C24"
"CAPACITOR","22pF","0402","smt","digikey","490-1283-1-ND","2","C30 C31"
"CAPACITOR","100uF","1206","smt","digikey","490-4512-1-ND","1","C38"
"LED","dualLED","0605","smt","digikey","160-1452-1-ND","1","D2"
"HOLE_PLATED","unknown","hole-M2.5","noload","unknown","unknown","2","H1 H2"
"CONNECTOR","Power","100mil2pin","noload","unknown","unknown","1","J1"
"CONNECTOR","Pyro","282834-4","throughhole","digikey","A98335-ND","1","J4"
"CONNECTOR","Debug","50mil4pin","noload","digikey","S9014E-04-ND","1","J6"
"CONNECTOR","SMA","sma-edge","noload","digikey","CONSMA003.062-ND","1","J8"
"INDUCTOR","27nH","0402","smt","digikey","490-2628-1-ND","3","L1 L3 L4"
"INDUCTOR","22nH","0402","smt","digikey","490-2627-1-ND","1","L2"
"MOSFET","FDS9926A","SO8","smt","digikey","FDS9926ACT-ND","1","Q1"
"RESISTOR","270","0402","smt","digikey","541-270LCT-ND","2","R12 R13"
"RESISTOR","100k","0402","smt","digikey","RHM100KLCT-ND","2","R14 R15"
"RESISTOR","56k","0402","smt","digikey","RHM56.0KLCT-ND","1","R16"
"RESISTOR","2.7k","0402","smt","digikey","RHM2.70KLCT-ND","1","R17"
"RESISTOR","10k","0402","smt","digikey","RMCF1/16S10K1%RCT-ND","4","R18 R2 R3 R4"
"RESISTOR","100","0402","smt","digikey","P100JCT-ND","2","R19 R20"
"RESISTOR","27k","0402","smt","digikey","311-27KJRCT-ND","2","R21 R22"
"RESISTOR","5k","0402","smt","digikey","311-5.10KLRCT-ND","1","R5"
"TC2185-3.3","TC2185-3.3","SOT23-5","smt","digikey","TC2185-3.3VCCT-ND","1","U1"
"IC","MP3H6115A","MOT1317","smt","digikey","MP3H6115A6U-ND","1","U6"
"IC","CC1111","TI-QFN36","smt","digikey","296-22684-1-ND","1","U9"
"CRYSTAL","48mhz","ABM8","smt","digikey","887-1335-1-ND","1","X1"
