device,value,footprint,loadstatus,provided,mfg,mfg_part_number,vendor,vendor_part_number,quantity,refdes
"BEEPER","TDK_PS12","TDK_PS12-small","throughole","no","unknown","PS1240P02BT","digikey","445-2525-1-ND",1,"U7"
"CAPACITOR","0.01uF","0402","smt","no","unknown","CC0402KRX7R9BB103","digikey","311-1349-1-ND",2,"C171 C211"
"CAPACITOR","0.1uF","0402","smt","no","unknown","CL05A104KA5NNNC","digikey","1276-1043-1-ND ",3,"C1 C2 C4"
"CAPACITOR","0.22uF","0402","smt","no","unknown","LMK105BJ224KV-F","digikey","587-1228-1-ND",1,"C42"
"CAPACITOR","100pF","0402","smt","no","unknown","GCM1555C1H101JA16D","digikey","490-10669-1-ND",1,"C172"
"CAPACITOR","10pF","0402","smt","no","unknown","0402N100J500CT","digikey","1292-1636-1-ND",4,"C3 C30 C31 C6"
"CAPACITOR","1.8nF","0402","smt","no","unknown","04025C182KAT2A","digikey","478-1104-1-ND",1,"C231"
"CAPACITOR","1uF","0402","smt","no","unknown","EMK105BJ105KV-F","digikey","587-2477-1-ND",1,"C37"
"CAPACITOR","2.2pF","0402","smt","no","unknown","GJM1555C1H2R2BB01D","digikey","490-8092-1-ND",1,"C176"
"CAPACITOR","22uF","0805","smt","no","unknown","CL21A226MQQNNNE","digikey","1276-1100-1-ND",1,"C5"
"CAPACITOR","39pF","0402","smt","no","unknown","CL05C390JB5NNNC","digikey","1276-1016-1-ND",1,"C174"
"CAPACITOR","47nF","0402","smt","no","unknown","CGA2B2X5R1C473K050BA","digikey","445-12164-1-ND",9,"C221 C251 C261 C271 C291 C43 C44 C45 C47"
"CAPACITOR","5.1pF","0402","smt","no","unknown","CC0402DRNPO9BN5R1","digikey","311-3722-1-ND",3,"C181 C191 C210"
"CAPACITOR","56pF","0402","smt","no","unknown","C0402C560J5GACTU","digikey","399-1020-1-ND",1,"C173"
"CAPACITOR","6.2pF","0402","smt","no","unknown","GJM1555C1H6R2CB01D","digikey","490-3105-1-ND",1,"C175"
"CONNECTOR","Debug","50mil6pin","noload","","unknown","","","",1,"J6"
"CONNECTOR","LiPo","S2B-PH","throughhole","yes","unknown","S2B-PH-K-S(LF)(SN)","digikey","455-1719-ND",1,"B1"
"CONNECTOR","Screw-2","282834-2","throughhole","no","unknown","282834-2","digikey","A98333-ND",1,"J1"
"CONNECTOR","Screw-4","282834-4","throughhole","no","unknown","282834-4","digikey","A98335-ND",1,"J4"
"CONNECTOR","SMA","sma-edge","noload","no","unknown","73251-2120","mouser","538-73251-2120",1,"J8"
"CRYSTAL","16MHz","ABM8","smt","no","unknown","ABM8G-16.000MHZ-4Y-T3","digikey","535-10907-1-ND",1,"X1"
"CRYSTAL","40mhz","ABM12","smt","no","unknown","8Q-40.000MEEV-T","digikey","887-1852-1-ND",1,"X2"
"DIODE","DFLS130L","powerdi123","smt","no","unknown","DFLS130LQ-7","mouser","621-DFLS130LQ7",1,"D3"
"IC","CC1200","TI-QFN32","smt","no","unknown","CC1200RHBT","digikey","296-36396-1-ND",1,"U6"
"IC","LM293","8ufson2x2","smt","no","unknown","LM293QT","mouser","511-LM293QT",1,"U2"
"IC","MS5607","MS5607","smt","no","unknown","MS560702BA03-50","digikey","223-1198-1-ND",1,"U3"
"IC","MX25L4006E","uson-8","smt","no","unknown","MX25L4006EZUI-12G TR","digikey","1092-1154-1-ND",1,"U5"
"IC","STM32F042G6U","ufqfpn28","smt","no","unknown","STM32F042G6U6","mouser","511-STM32F042G6U6",1,"U4"
"IC","TPS71433","s-pwson-n6","smt","no","unknown","TPS71433DRVR","digikey","296-24040-1-ND",1,"U1"
"INDUCTOR","15nH","0402","smt","no","unknown","LQG15HS15NJ02D","digikey","490-2625-1-ND",2,"L172 L193"
"INDUCTOR","22nH","0402","smt","no","unknown","LQG15HS22NJ02D","digikey","490-2627-1-ND",1,"L174"
"INDUCTOR","27nH","0402","smt","no","unknown","LQG15HS27NJ02D","digikey","490-2628-1-ND",2,"L192 L201"
"INDUCTOR","43nH","0402","smt","no","unknown","MLG1005S43NJT000","digikey","445-6314-1-ND",1,"L173"
"INDUCTOR","56nH","0402","smt","no","unknown","LQG15HS56NJ02D","digikey","490-2632-1-ND",2,"L171 L191"
"MOSFET","Si7232DN","1212-8","smt","no","unknown","SI7232DN-T1-GE3","mouser","781-SI7232DN-GE3",1,"Q1"
"RESISTOR","100","0402","smt","no","unknown","ERJ-2RKF1000X","digikey","P100LCT-ND",2,"R10 R6"
"RESISTOR","100k","0402","smt","no","unknown","RC0402FR-07100KL","digikey","311-100KLRCT-ND",2,"R11 R7"
"RESISTOR","10k","0402","smt","yes","unknown","ERJ-2RKF1002X","digikey","P10.0KLTR-ND",3,"R1 R26 R3"
"RESISTOR","18","0402","smt","no","unknown","ERJ-2RKF18R0X","digikey","P18.0LCT-ND",1,"R171"
"RESISTOR","27k","0402","smt","no","unknown","ERJ-2RKF2702X","digikey","P27.0KLCT-ND",2,"R14 R8"
"RESISTOR","33","0402","smt","no","unknown","ERJ-2RKF33R0X","digikey","P33.0LCT-ND",2,"R12 R13"
"RESISTOR","3.3k","0402","smt","no","unknown","ERJ-2RKF3301X","digikey","P3.30KLCT-ND",2,"R5 R9"
"RESISTOR","5.6k","0402","smt","no","unknown","ERJ-2RKF5601X","digikey","P5.60KLCT-ND",1,"R25"
"RESISTOR","56k","0402","smt","no","unknown","ERJ-2RKF5602X","digikey","P56.0KLCT-ND",1,"R30"
"RESISTOR","8.06k","0402","smt","no","unknown","ERJ-2RKF8061X","digikey","P8.06KLCT-ND",1,"R2"
"RESISTOR","9.09k","0402","smt","no","unknown","ERJ-2RKF9091X","digikey","P9.09KLCT-ND",1,"R4"
